序号,AO号,类型,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
1,A,1,,0,0.0,,
2,A-1,1,,0,0.0,,
3,AAQS00-0010,2,,2,1.57,1,6
4,FAQJ00-3450,2,,2,3.52,1,
5,FDQJ00-2000,2,,2,1.91,1,
6,ABQJ00-0010,2,,2,4.7,1,
7,AJYY00-0030,2,,2,1.69,,
8,AJZY00-0020,2,,2,0.98,,
9,AJZY00-0040,2,AJZY00-0020,2,1.35,,
10,AJYY00-0050,2,,2,1.82,,
11,AJYY00-0070,2,AJYY00-0050,2,1.86,,
12,AJZY00-0060,2,,2,1.29,,
13,AJZY00-0080,2,AJZY00-0060,2,1.59,,
14,AJCP00-0090,2,,2,2.07,,
15,AJCP00-0100,2,,2,0.42,,
16,AJCP00-0130,2,AJCP00-0100,2,1.27,,
17,AJCP00-0110,2,,2,1.69,,
18,AJCP00-0120,2,,2,0.54,,
19,AJCP00-0140,2,"AJCP00-0110,AJCP00-0120",2,1.24,,
20,AJCP00-0150,2,,2,1.15,,
21,AJCP00-0170,2,AJCP00-0150,2,0.42,,
22,AJWB00-0180,2,AJWB00-0190,2,1.25,,
23,AJWB00-0190,2,,2,1.15,,
24,AJQJ00-0200,2,,2,1.5,,
25,AEQJ00-0010,2,,2,5.39,,
26,AGQJ00-0010,2,,2,3.67,,
27,FJQJ00-0370,2,,2,0.89,,
28,ABHS00-2180,2,,2,2.11,,
29,A-2,1,A-1,0,0.0,,
30,AFQJ00-0100,2,,3,0.7,,
31,AFZG00-0110,2,,3,1.03,,
32,AFZG00-0140,2,,5,0.71,,
33,AFZG00-0150,2,,5,0.27,,
34,AFZG00-0160,2,,1,0.6,,
35,AFZG00-0170,2,,1,0.5,,
36,AKQS00-0020,2,,1,0.89,,6
37,AKCP00-0040,2,,1,1.52,,
38,AKYY00-0050,2,,1,1.41,,
39,AKCP00-0060,2,,1,1.45,,
40,AKCP00-0070,2,,1,1.37,,
41,AWWB00-0010,2,,2,0.82,,
42,AWWB00-0020,2,,1,0.73,,
43,AWWC00-0040,2,,1,0.65,,4
44,AWWB00-0050,2,,1,0.86,,
45,BWQS00-0090,2,,1,1.17,,6
46,AWWB00-1600,2,,1,0.57,,
47,AYWB00-0040,2,,1,3.07,,
48,AYWB00-0050,2,,1,3.55,,
49,AYQQ00-0060,2,,2,4.31,,2
50,AYHS00-0070,2,,1,4.78,,
51,AYQQ00-0080,2,,1,7.19,,2
52,AYWC00-1980,2,,3,5.85,,4
53,FYQJ00-1130,2,,2,8.23,,
54,ACZY00-0010,2,,1,0.61,,
55,ACYY00-0020,2,,1,1.01,,
56,ACCP00-0030,2,,1,0.68,,
57,ACCP00-0050,2,,1,0.57,,
58,ACCP00-0060,2,,1,0.42,,
59,AQHS00-0020,2,,1,1.45,,
60,AQHS00-0030,2,,1,1.04,,
61,AQHS00-0040,2,,1,1.59,,
62,AQHS00-0060,2,,1,1.39,,
63,AQHS00-0070,2,,1,0.93,,
64,AQHS00-0080,2,,1,1.37,,
65,AQHS00-0090,2,,1,1.47,,
66,AQHS00-0100,2,,1,1.45,,
67,AQHS00-0120,2,,1,1.95,,
68,AQHS00-0140,2,AQHS00-0120,2,0.97,,
69,AQHS00-0150,2,,1,1.17,,
70,AQQS00-0160,2,,1,0.72,,6
71,AQQJ00-0170,2,,2,2.92,,2
72,AQWC00-0190,2,,1,1.06,,4
73,AJYY00-0230,2,,1,0.33,,
74,AJZY00-0240,2,,1,0.42,,
75,AJYY00-0250,2,,1,2.85,,
76,AJZY00-0260,2,,1,2.41,,
77,AJYY00-0270,2,,1,0.43,,
78,AJQX00-0290,2,,1,1.38,,4
79,AJYYA1-0310,2,,2,0.73,,
80,AJWC00-0560,2,,1,0.62,,4
81,AJWC00-0570,2,,1,1.05,,4
82,AJWC00-0580,2,,5,2.18,,4
83,AEQS00-0020,2,,1,1.28,,6
84,AEQS00-0030,2,,1,1.21,,6
85,AEHS00-0040,2,,1,5.73,,
86,AEQX00-0050,2,,1,0.96,,4
87,AEQS00-0060,2,,1,0.83,,6
88,AEQS00-0070,2,,1,0.5,,6
